
948,965,969,920,329,929,1,3,363,0
948,965,969,920,265,928,1,3,354,0
947,965,970,920,244,927,2,3,361,0
947,965,970,920,258,928,2,4,278,0
947,965,970,920,267,928,1,3,309,0
948,966,969,920,218,928,1,3,316,0
947,965,969,921,171,927,1,3,306,0
948,965,970,922,277,928,1,3,311,0
948,964,969,922,317,928,1,3,315,0
950,965,969,922,369,930,2,3,322,1
950,965,968,923,376,927,1,3,309,0
948,965,969,923,363,924,1,3,319,0
946,965,969,923,367,924,1,3,318,0
946,965,969,923,346,922,1,2,321,0
946,966,969,924,308,926,1,2,328,1
947,965,969,924,356,925,1,3,331,0
945,966,969,926,102,922,2,2,326,0
945,966,967,925,123,920,1,2,323,0
943,966,966,926,26,919,1,3,327,0
943,966,967,927,27,919,1,3,333,0
944,965,966,927,173,922,1,3,330,1
941,966,967,927,283,913,2,3,328,0
938,966,968,927,282,912,1,2,323,0
938,966,968,927,282,911,1,2,323,0
938,967,968,928,293,911,1,2,320,0
941,966,968,928,294,918,1,2,327,0
943,965,968,927,299,919,1,3,329,0
944,966,968,928,298,920,1,3,335,1
944,966,968,927,300,921,2,3,342,0
944,967,969,927,299,922,1,3,343,0
944,966,969,927,300,923,1,2,344,0
944,966,969,927,302,923,1,3,345,0
945,965,968,927,302,923,1,3,343,0
945,965,968,927,300,923,1,2,340,1
945,966,969,926,296,922,2,2,340,0
969,966,968,927,298,924,1,3,337,0
946,965,969,927,303,923,1,3,337,0
946,966,969,927,301,925,1,3,337,0
946,966,969,927,304,926,1,2,336,1
946,966,969,927,302,925,1,2,342,0
946,966,969,927,300,925,2,3,337,0
945,966,969,927,288,924,1,3,338,0
945,966,969,927,279,924,1,3,341,1
945,966,969,927,280,923,1,3,338,0
945,966,969,927,280,923,1,2,336,0
968,965,968,927,281,833,1,2,344,1
944,966,969,927,281,929,1,2,343,0
945,966,968,927,282,930,2,3,341,0
945,966,968,927,283,929,1,3,341,0
945,966,968,927,281,929,1,2,336,0
944,966,968,927,156,928,1,2,341,0
944,966,969,928,125,929,1,3,339,0
945,966,969,928,213,930,1,3,337,0
945,966,969,927,252,930,2,3,340,0
946,966,969,927,257,931,1,3,340,0
946,966,969,926,257,931,1,3,344,0
946,966,969,927,268,931,1,3,345,0
947,966,969,927,264,932,1,3,349,0
947,966,968,927,275,932,1,3,350,0
947,966,969,926,294,933,2,2,352,0
946,966,968,925,385,932,1,2,347,0
945,966,968,925,437,931,1,2,349,0
945,966,969,925,453,929,1,3,344,0
945,967,969,925,432,930,1,3,347,0
946,966,969,925,431,931,1,3,344,0
946,966,969,925,432,931,1,3,344,0
946,966,969,925,434,932,1,3,342,0
947,966,969,925,394,932,1,2,343,0
947,966,969,925,353,931,1,2,346,0
947,966,970,925,377,932,1,3,345,0
947,966,969,925,398,932,1,3,346,0
948,966,969,925,394,932,1,3,344,0
946,966,969,925,369,931,2,2,338,0
946,966,969,925,359,929,1,2,334,0
944,966,969,925,370,927,1,3,333,0
943,966,969,925,389,927,1,3,332,0
944,966,969,925,401,928,1,3,325,0
945,966,969,925,406,929,1,2,324,0
945,966,969,926,418,929,2,3,330,0
946,966,969,925,412,932,1,3,331,1
946,966,969,925,417,931,1,2,336,0
945,966,969,925,414,928,1,3,331,0
944,966,969,926,390,927,1,3,330,0
943,966,968,926,384,926,1,3,329,1
943,966,969,926,385,926,1,3,332,1
942,966,969,926,375,926,1,3,334,0
943,966,970,926,380,927,1,2,329,0
944,966,969,926,324,926,1,3,334,0
944,965,969,926,319,928,2,3,330,0
944,966,969,926,319,928,1,3,335,0
944,966,969,926,340,928,2,3,333,1
944,966,969,926,320,928,2,3,336,0
944,966,969,926,318,928,1,3,336,0
944,966,968,926,318,928,1,3,336,0
944,966,969,926,318,928,1,3,332,0
945,966,969,926,318,929,1,4,330,1
944,966,969,927,322,928,1,3,335,1
945,966,969,927,321,928,2,3,335,0
945,966,969,927,320,929,1,3,336,1
945,966,968,926,320,929,1,3,328,0
945,965,969,926,320,929,1,3,329,0
945,966,969,926,320,929,1,3,325,1
945,966,969,926,322,930,1,3,330,0
946,966,969,926,321,930,1,3,330,0
947,966,970,927,326,931,2,3,327,1
946,966,969,926,323,932,1,4,327,0
945,966,969,926,325,931,1,3,325,1
946,966,969,926,322,931,1,3,332,0
946,966,969,926,322,931,1,4,328,1
945,966,969,926,322,931,1,3,328,0
946,966,969,926,321,930,2,3,326,1
946,966,969,927,319,930,1,4,321,0
946,966,969,927,321,930,1,4,325,1
946,966,969,927,324,930,1,4,323,0
