sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
902,954,764,858,681,861,794,0,67,1
903,952,753,859,680,862,793,0,67,1
903,952,750,856,681,862,794,0,68,0
902,950,765,856,680,862,794,0,68,2
903,950,764,857,681,863,794,0,67,1
904,952,765,857,679,863,792,0,68,0
903,952,763,859,681,863,793,0,68,2
903,952,763,860,682,862,793,0,66,1
903,953,762,859,682,862,793,0,67,2
903,954,762,860,682,863,793,0,67,1
903,954,764,860,681,863,794,0,65,1
903,954,764,860,681,862,792,0,66,1
903,954,764,858,681,862,792,0,67,1
902,953,764,861,681,862,793,0,70,0
903,953,763,860,683,862,791,0,71,1
902,954,764,861,682,862,792,0,71,1
903,954,763,861,684,862,791,0,68,1
903,954,764,861,683,862,793,0,69,1
903,954,764,860,684,862,791,0,71,1
902,955,763,860,684,862,791,0,70,1
903,955,764,860,683,862,791,0,70,1
902,955,765,861,684,861,792,0,65,2
903,954,764,861,682,862,792,0,69,0
903,955,764,861,682,862,791,0,68,1
902,956,764,861,682,861,793,0,68,2
902,955,763,862,683,862,791,0,72,2
902,955,764,862,683,861,792,0,70,2
902,955,764,862,683,861,790,0,71,2
903,956,764,863,685,861,792,0,70,2
903,955,764,863,685,862,790,0,69,1
903,954,763,862,685,862,790,0,70,0
902,954,763,863,685,861,791,0,70,1
903,954,763,863,685,862,792,0,64,1
903,955,762,862,684,862,792,0,65,1
903,955,762,862,683,861,793,0,65,1
902,955,765,861,683,860,795,0,70,1
902,956,766,862,684,860,795,0,72,1
903,956,765,863,684,860,792,0,70,1
903,955,764,862,684,860,793,0,69,1
902,955,766,860,683,860,792,0,69,0
903,954,765,860,684,859,791,0,68,1
902,954,766,859,684,860,791,0,71,1
903,953,765,860,684,860,791,0,71,1
902,952,765,860,685,860,790,0,72,0
902,953,766,862,686,859,791,0,71,2
903,954,764,861,685,860,789,0,70,1
902,954,765,861,686,860,790,0,71,1
902,955,766,861,686,860,790,0,71,1
903,955,766,861,686,860,789,0,71,1
902,955,765,861,686,860,789,0,71,1
902,956,766,860,684,860,791,0,71,0
902,957,766,860,682,860,792,0,72,2
902,956,766,860,683,860,791,0,71,1
903,956,766,860,682,857,790,0,72,1
902,957,765,859,680,860,792,0,72,1
902,957,766,859,682,860,791,0,65,0
903,957,766,859,680,861,790,0,71,1
903,957,766,859,681,860,789,0,70,1
903,957,766,859,682,861,788,0,71,1
902,957,766,859,682,861,788,0,70,1
903,955,766,860,683,861,789,0,71,0
902,955,766,860,684,861,790,0,73,1
903,954,766,859,683,861,789,0,72,2
903,953,766,860,684,860,787,0,72,0
903,953,766,858,686,861,786,0,73,1
904,953,766,856,686,861,787,0,73,1
902,952,766,857,683,861,784,0,73,0
903,953,766,857,683,862,782,0,74,1
903,954,766,856,683,861,784,0,71,1
903,954,766,859,684,857,784,0,73,2
903,954,766,858,684,861,787,0,73,2
903,955,766,857,685,861,784,0,72,1
903,955,765,859,684,861,784,0,74,1
903,955,766,858,683,860,783,0,72,1
903,955,765,859,684,860,782,0,72,0
903,956,766,859,684,860,781,0,72,1
903,956,766,859,684,861,782,0,70,1
902,956,765,859,684,862,779,0,73,1
902,957,765,859,684,861,778,0,72,2
903,958,765,858,683,861,782,0,72,2
902,959,765,858,684,861,781,0,73,2
902,960,765,859,684,861,781,0,73,1
902,959,765,857,684,862,779,0,72,1
902,957,765,858,686,862,779,0,71,0
902,957,765,854,684,862,779,0,75,0
903,953,765,851,685,862,778,0,68,1
902,953,765,848,684,862,777,0,73,0
902,953,762,848,683,863,779,0,67,2
903,954,767,851,685,862,780,0,67,0
902,955,767,853,685,862,781,0,68,1
902,955,767,854,684,861,779,0,88,0
902,956,767,856,685,862,779,0,92,0
902,957,767,856,686,862,782,0,93,1
902,957,767,858,686,862,779,0,96,1
903,957,765,857,687,862,778,0,97,1
903,957,767,858,688,861,777,0,99,1
903,958,762,856,681,862,776,0,95,0
902,959,765,858,685,862,777,0,95,1
903,959,765,858,684,862,776,0,75,2
903,959,765,858,682,863,775,0,74,1
903,959,766,857,683,862,775,0,88,0
902,958,766,858,685,861,776,0,95,0
903,958,766,856,686,862,773,0,95,0
902,956,767,857,685,861,770,0,72,1
902,956,765,857,686,862,770,0,89,0
903,956,766,858,688,863,771,0,97,0
903,956,763,859,689,863,770,0,75,1
903,957,760,859,689,857,770,0,75,0
903,956,763,860,690,861,768,0,69,0
903,956,767,859,690,860,767,0,84,0
902,956,767,859,690,859,768,0,95,1
902,955,766,858,681,859,768,0,64,1
902,955,765,860,683,862,767,0,66,0
902,957,766,860,687,861,767,0,68,1
901,958,765,860,687,860,768,0,71,2
902,958,766,861,686,860,766,0,73,0
903,958,765,861,686,860,764,0,73,1
902,959,765,860,686,860,765,0,72,0
902,959,765,861,687,863,760,0,72,0
902,959,765,860,685,863,759,0,68,1
902,959,766,860,685,860,760,0,67,1
902,959,766,860,686,861,758,0,70,1
902,959,767,860,687,861,757,0,97,1
903,958,766,859,686,859,759,0,73,1
903,957,766,860,687,865,757,0,64,1
902,958,766,859,687,864,759,0,66,1
901,957,767,860,686,863,758,0,66,0
902,956,767,859,685,864,759,0,66,1
902,956,768,859,686,864,758,0,67,1
901,954,768,860,687,863,756,0,69,0
902,955,767,860,686,864,757,0,71,0
902,955,768,860,688,864,757,0,68,1
902,955,768,861,688,864,757,0,71,1
902,955,768,860,689,864,757,0,71,0
903,955,767,860,689,865,757,0,74,1
902,955,766,861,689,865,756,0,72,0
903,953,767,860,687,864,755,0,74,1
902,952,767,860,689,860,756,0,71,0
902,953,767,860,687,865,757,0,67,0
902,954,767,860,687,865,756,0,67,2
902,954,767,861,687,865,756,0,72,1
903,955,766,862,687,865,755,0,71,1
902,955,766,861,687,864,753,0,70,1
902,956,766,861,687,864,754,0,69,0
903,957,766,862,688,865,753,0,70,0
903,957,766,861,688,864,753,0,72,0
903,956,767,863,688,864,753,0,74,1
902,957,767,862,688,864,753,0,66,1
902,956,766,863,687,863,755,0,68,1
902,955,766,862,686,862,754,0,74,1
902,955,765,861,687,862,752,0,76,1
902,955,766,863,684,863,749,0,77,1
902,955,766,865,684,863,750,0,67,0
902,954,765,862,684,863,750,0,66,0
902,954,766,863,685,863,749,0,66,1
902,954,766,865,686,863,749,0,82,0
902,954,766,865,690,863,749,0,95,1
903,956,765,866,691,863,749,0,93,0
902,956,765,865,687,863,750,0,97,1
903,959,766,865,687,863,749,0,99,1
902,961,765,863,683,863,748,0,64,1
902,961,764,863,685,863,747,0,64,0
902,961,764,862,686,863,747,0,64,1
902,962,763,862,685,862,748,0,69,0
902,962,763,857,685,863,745,0,72,1
903,963,763,856,686,863,742,0,72,1
902,963,763,844,678,863,741,0,71,0
