sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
902,923,871,928,395,717,2,0,728,411
901,922,871,928,395,719,2,1,727,411
901,922,872,928,391,722,2,0,728,417
901,923,870,928,399,720,1,0,725,422
901,923,869,927,411,709,2,0,725,426
900,923,867,927,437,699,2,0,713,425
897,922,856,927,439,691,3,1,706,423
897,919,845,927,443,691,4,0,698,425
897,917,834,925,454,688,2,0,698,429
895,906,831,924,460,700,1,0,654,432
898,882,830,924,465,700,1,0,631,426
899,854,828,922,459,700,2,0,604,417
898,811,823,919,463,700,1,0,604,427
897,779,828,919,470,695,2,0,595,409
895,783,844,918,471,699,1,0,566,412
898,793,846,915,474,694,2,0,515,409
899,782,847,913,473,694,1,0,565,414
899,748,848,913,468,695,2,0,626,412
899,671,852,911,465,695,1,0,642,440
900,669,852,910,460,696,1,0,657,444
900,656,849,909,455,692,2,0,668,446
901,685,854,910,468,699,3,0,645,438
901,686,857,911,457,681,2,0,494,429
900,691,860,906,457,681,3,0,527,431
901,698,864,904,460,712,1,0,547,438
903,662,867,903,467,711,1,0,502,435
905,658,873,907,463,714,2,0,592,435
907,637,875,910,464,711,2,0,644,438
909,701,877,913,467,707,1,0,696,446
909,736,878,915,464,697,2,0,705,445
908,747,875,915,488,687,1,0,652,447
907,671,872,910,591,692,2,0,654,451
908,584,862,908,598,696,1,0,641,434
908,616,863,907,583,717,2,0,604,436
908,589,864,904,583,710,2,0,645,437
908,580,865,901,589,707,3,0,665,433
909,620,859,898,592,699,3,0,625,444
910,632,851,895,590,684,2,0,601,456
912,617,851,895,579,706,2,0,599,440
911,682,853,894,566,684,1,0,590,446
912,734,853,888,553,692,2,0,612,440
912,747,851,886,548,680,2,0,611,442
910,732,851,880,550,702,1,0,575,442
912,714,853,878,564,682,1,0,629,443
914,681,853,876,537,701,1,0,644,449
914,584,856,873,560,705,2,0,664,450
914,564,857,873,562,710,1,0,689,449
913,590,857,873,569,713,2,0,689,451
913,648,858,876,568,726,2,0,687,453
915,684,859,877,591,719,3,0,714,450
917,629,860,880,580,715,3,0,726,449
915,636,862,883,545,717,3,0,732,449
916,653,862,885,536,725,2,0,742,446
916,586,861,887,504,723,2,0,770,446
916,556,861,889,529,720,3,0,772,443
916,489,861,890,477,715,1,0,787,444
918,541,862,891,455,714,2,0,800,447
919,472,862,891,339,714,2,0,811,449
920,436,863,880,197,722,1,0,812,448
927,445,868,878,317,727,1,0,823,449
929,512,873,880,358,717,2,0,829,444
930,493,866,874,334,730,1,0,840,450
931,399,869,881,335,721,2,0,847,449
932,432,874,878,336,731,4,0,849,451
930,537,875,882,349,734,4,0,836,452
