sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
925,966,784,834,717,905,950,952,322,777
926,963,784,834,711,905,951,953,318,765
925,957,788,835,699,904,952,953,328,814
925,950,789,835,694,903,953,953,326,823
924,948,789,832,698,903,955,953,324,831
924,949,790,831,689,902,955,953,325,833
924,949,790,827,691,902,957,954,325,835
923,949,789,818,694,902,956,953,327,837
923,951,788,802,699,901,956,954,321,841
923,956,786,794,704,901,956,954,322,837
923,959,783,781,706,902,957,954,319,832
922,962,780,773,708,901,956,954,315,835
922,963,776,771,708,901,956,954,310,834
923,964,763,768,709,901,955,953,312,826
922,966,768,752,700,900,955,954,302,822
922,967,764,751,701,899,953,954,312,826
922,967,777,757,705,900,952,954,306,830
921,967,782,761,707,899,953,954,296,831
922,967,782,762,707,900,955,954,294,827
921,967,782,763,707,901,954,954,298,824
922,967,769,765,709,900,955,954,299,827
922,967,782,769,709,901,955,954,300,832
923,968,770,767,708,901,955,955,313,831
923,967,772,766,710,901,955,954,302,838
923,967,773,767,709,902,955,955,298,840
923,968,773,766,711,902,954,954,300,837
922,968,775,768,710,901,954,954,287,828
922,968,790,770,706,902,953,954,291,821
922,969,795,770,703,902,953,954,292,820
922,969,795,768,704,902,953,953,287,818
922,969,795,768,705,902,953,954,289,816
922,969,795,768,705,902,953,954,291,796
921,969,795,769,699,902,953,954,289,791
922,969,796,770,702,902,953,953,284,798
921,969,797,770,702,902,954,954,292,804
922,969,797,770,703,902,953,953,302,816
921,969,798,772,704,901,953,953,302,821
922,969,798,772,705,902,954,953,300,821
921,969,798,775,705,901,954,953,304,820
922,969,797,775,707,902,954,953,305,815
921,970,798,775,707,901,954,953,292,817
922,969,797,774,708,901,953,953,305,815
922,969,797,776,707,902,954,954,288,814
921,970,798,777,708,901,954,954,301,818
922,968,802,775,708,902,954,954,293,824
921,965,802,778,708,901,954,954,307,828
921,963,800,785,709,902,954,954,305,832
921,960,821,793,710,901,956,954,294,833
920,958,824,795,705,901,958,954,305,837
920,957,825,794,709,902,959,955,305,831
920,958,826,797,705,901,960,955,296,827
920,959,827,798,708,901,959,956,296,833
921,960,827,796,710,902,958,955,302,829
920,963,827,795,711,901,957,955,304,824
920,965,827,789,711,902,955,955,299,813
920,967,827,787,708,901,956,955,305,803
922,968,799,781,708,902,955,954,307,806
921,968,801,781,710,901,955,954,307,805
922,968,803,782,710,902,956,954,298,807
922,969,803,782,711,902,954,954,296,815
922,969,803,783,713,902,954,954,297,819
922,969,803,781,712,902,955,954,298,824
921,969,804,782,712,902,955,954,293,823
921,969,805,785,713,902,955,954,297,823
922,969,804,783,712,902,955,953,296,823
922,970,804,783,713,902,955,954,299,821
922,969,804,781,714,903,955,952,298,820
921,970,810,782,713,901,955,953,295,815
922,970,810,781,710,902,955,953,295,813
921,970,810,779,710,901,954,953,295,809
922,970,810,777,708,902,954,953,291,814
921,971,810,778,710,901,955,953,292,818
921,971,811,779,711,901,954,953,298,819
921,971,811,780,712,901,955,953,294,819
921,971,811,779,708,901,955,953,297,819
921,971,811,779,710,901,955,953,296,818
921,971,811,779,710,902,955,954,297,821
922,970,812,778,712,902,955,953,295,812
921,971,811,779,713,901,954,954,298,791
922,971,811,780,710,902,953,953,294,782
921,971,811,783,709,902,954,953,291,776
921,972,811,784,711,902,953,954,294,784
921,971,824,784,710,901,953,952,293,788
920,971,829,784,711,901,953,952,293,788
921,972,810,784,709,902,953,952,291,782
922,971,810,786,711,902,953,951,296,784
922,972,810,792,715,902,953,949,295,785
922,972,811,793,714,901,954,950,295,779
922,971,808,794,714,902,957,951,286,771
921,971,808,796,713,900,957,951,285,765
921,972,809,796,712,900,957,951,296,767
922,971,809,796,716,901,957,950,291,791
921,971,809,795,717,901,956,950,293,793
921,971,808,796,717,901,955,950,293,792
922,971,808,796,714,901,957,951,292,794
921,972,808,796,716,901,956,952,293,783
922,972,808,797,715,901,957,952,291,798
921,972,808,797,717,900,957,952,295,799
921,971,807,799,716,900,957,952,295,799
921,972,807,800,715,900,958,952,290,800
921,972,808,799,716,899,958,952,294,807
922,971,807,798,714,900,959,952,295,809
921,972,808,800,716,900,960,953,297,811
921,972,808,799,717,900,960,952,293,813
922,971,812,799,717,900,959,952,295,812
921,972,812,799,718,900,959,954,294,811
922,971,812,800,718,901,959,952,293,809
921,972,814,798,713,900,958,953,293,793
922,972,813,800,712,900,959,954,282,791
922,972,813,800,709,900,959,953,293,796
922,971,812,800,713,900,958,953,279,795
922,972,811,801,716,900,959,952,292,793
921,972,809,802,714,900,958,952,282,800
923,970,792,804,716,901,958,952,285,796
923,971,793,803,717,902,960,952,294,803
923,971,794,804,717,902,960,951,286,804
922,972,795,803,717,901,959,951,283,818
924,972,795,801,714,901,958,952,272,820
923,971,797,804,716,902,959,952,271,821
923,972,799,803,717,902,960,953,286,817
922,972,801,803,717,901,960,953,296,821
923,972,802,803,716,901,959,952,277,822
922,971,802,802,716,902,961,953,283,820
922,972,803,802,715,902,960,952,282,819
923,971,802,802,716,902,961,952,285,820
922,972,804,800,714,902,960,953,286,818
923,971,803,800,713,902,959,953,273,804
923,971,812,800,715,903,959,953,287,805
922,972,812,800,714,902,959,953,281,810
923,970,812,800,715,904,959,952,278,802
924,969,814,801,714,905,959,953,277,783
923,968,816,803,711,905,956,952,268,789
924,966,817,806,709,905,957,951,255,770
924,967,818,807,706,904,958,951,258,765
924,968,818,808,709,904,959,951,254,776
923,970,817,811,711,904,960,952,253,794
924,970,817,813,712,904,959,952,250,800
923,969,818,815,711,905,959,952,251,802
924,970,819,814,711,904,958,952,251,812
923,970,819,815,712,904,958,952,260,812
924,970,818,815,713,904,959,952,260,812
924,970,818,815,713,904,960,952,256,815
924,970,818,814,713,903,960,953,256,818
924,970,818,812,713,903,961,953,260,817
923,970,821,811,714,903,961,953,262,817
924,970,821,811,713,904,962,954,281,817
924,970,817,811,715,904,962,954,281,819
924,969,817,811,714,904,961,953,280,821
924,971,817,812,713,904,961,953,271,812
923,971,822,812,712,904,960,954,272,798
924,970,817,812,711,904,960,953,271,783
923,970,823,811,711,904,960,953,260,785
924,971,817,811,711,904,960,954,252,785
924,970,816,812,711,905,960,953,254,779
924,971,815,812,712,904,961,953,259,796
924,971,816,813,709,904,961,953,255,816
925,970,815,810,710,906,959,952,253,816
924,970,816,811,709,908,961,953,255,815
925,968,816,806,711,907,960,952,211,824
925,968,816,811,711,908,960,953,180,797
925,966,817,809,709,908,960,953,172,807
925,965,817,809,707,909,959,953,169,824
925,965,815,808,708,908,960,953,166,811
925,966,816,808,707,909,958,954,166,801
925,966,816,806,709,909,960,954,169,817
925,968,816,804,711,907,961,953,168,810
925,968,816,805,711,907,960,954,168,805
925,968,815,801,712,907,961,954,164,800
924,969,815,801,712,904,959,955,164,810
924,969,815,798,714,903,959,954,163,815
924,970,814,793,715,903,961,953,187,825
922,972,813,798,713,901,962,954,230,829
921,974,812,798,712,900,962,955,235,830
922,973,812,796,712,900,963,954,236,818
921,974,811,797,713,900,964,954,251,802
924,971,812,797,713,905,963,955,231,799
924,970,814,797,715,907,961,954,187,791
925,969,815,802,714,906,961,956,169,790
925,968,814,803,710,905,959,954,167,792
925,969,816,805,714,905,961,954,166,797
924,970,813,805,715,904,962,955,165,799
923,971,814,807,716,903,961,954,167,815
925,971,813,807,716,904,962,954,180,827
922,971,846,806,716,903,962,954,186,829
922,971,847,808,717,903,962,954,188,832
921,972,847,808,717,903,962,954,186,824
921,972,848,808,716,903,962,955,184,822
922,971,847,808,717,903,961,953,187,810
