sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
971,958,637,715,787,357,134,1,10,2
973,958,680,711,783,346,134,0,1,0
973,958,713,705,772,351,133,1,0,0
972,959,714,705,772,346,133,0,0,0
973,958,716,706,774,352,133,0,1,0
973,958,714,705,776,355,132,0,1,0
972,958,719,708,774,350,133,0,0,0
972,958,718,708,774,356,133,0,0,0
973,957,726,710,775,356,133,0,1,0
973,957,733,713,773,356,132,0,0,0
972,958,741,713,761,372,133,0,0,0
973,958,727,715,759,351,132,0,0,0
972,958,721,715,760,349,133,0,1,0
972,958,725,717,760,361,134,0,0,0
972,958,731,716,773,358,135,0,0,0
972,957,728,715,771,371,134,0,0,0
973,957,713,716,747,355,133,0,0,0
972,958,709,712,744,367,134,0,1,0
972,957,716,716,743,358,133,0,1,0
973,957,726,712,755,355,133,0,1,0
973,957,722,707,761,361,133,0,1,0
972,958,686,707,750,369,132,0,0,0
972,957,686,702,777,381,135,0,1,0
972,957,695,726,794,371,122,0,1,0
972,956,725,736,824,372,101,0,1,0
973,955,749,754,834,345,113,0,0,0
973,955,748,750,836,372,103,0,1,0
972,956,674,747,842,383,107,0,1,0
971,955,531,739,828,391,112,0,0,0
971,955,606,705,814,389,111,1,0,0
972,956,642,706,794,392,113,0,1,0
972,956,680,720,796,393,120,0,0,0
972,956,686,725,796,391,115,0,1,0
972,957,689,727,798,395,117,0,1,0
972,956,704,733,792,396,112,0,0,0
972,957,675,728,715,389,119,0,1,0
972,957,684,716,718,387,114,0,0,0
972,957,702,727,725,386,112,0,0,0
972,957,713,727,731,387,111,0,0,0
972,957,724,725,733,378,115,0,1,0
973,957,735,726,734,362,116,0,1,0
972,958,760,729,753,360,115,0,0,0
972,958,750,728,765,384,115,0,0,0
973,957,748,715,772,377,110,0,0,0
973,957,768,711,772,383,110,0,1,0
972,958,759,715,765,359,113,0,1,0
973,957,718,706,708,371,111,0,0,0
972,958,754,697,781,393,96,0,0,0
972,958,723,697,751,395,98,0,0,0
973,958,732,703,758,385,105,0,0,0
973,958,771,698,766,381,100,0,0,0
973,958,731,703,749,380,102,0,0,0
972,958,781,701,754,378,105,0,1,0
972,958,774,698,761,378,100,0,0,0
972,959,732,702,746,380,100,1,0,0
972,959,771,706,751,400,105,0,1,0
972,959,779,705,758,372,99,0,1,0
973,959,760,709,760,383,99,0,1,1
973,958,771,714,759,385,102,0,0,0
