sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
940,834,814,914,435,717,0,0,638,0
940,845,821,910,436,722,0,0,767,545
941,891,805,917,343,735,29,308,740,716
932,902,797,917,321,708,803,299,731,178
909,933,845,913,484,771,895,197,740,736
925,885,831,911,403,750,838,423,730,790
928,887,824,909,450,775,811,570,734,754
929,901,819,912,360,782,728,597,724,723
930,903,801,917,356,804,776,477,737,815
929,898,807,921,365,792,142,0,712,856
935,900,810,915,369,745,453,617,721,824
933,900,808,914,373,782,577,483,722,852
931,908,808,914,360,699,500,263,745,759
936,870,814,910,463,573,280,258,733,816
908,867,813,923,388,809,501,132,724,829
935,883,864,924,517,829,818,670,584,841
908,884,863,924,442,814,823,808,725,842
928,883,874,923,526,834,916,856,712,822
915,886,870,924,471,790,437,235,713,825
923,897,869,921,439,779,436,437,715,838
923,892,866,923,444,847,760,690,729,619
927,883,868,926,464,846,839,844,752,781
924,880,866,928,465,815,700,786,743,767
924,881,866,929,458,842,803,842,745,700
933,893,867,930,516,843,811,846,754,771
931,891,865,929,478,829,714,883,743,853
923,890,870,926,475,817,819,932,729,880
924,892,870,927,460,855,817,938,754,872
926,890,869,927,461,835,840,936,759,875
927,889,869,928,459,846,839,945,757,870
931,885,869,929,418,849,766,947,754,886
933,886,870,924,395,847,750,943,765,892
935,887,871,925,401,855,703,941,763,896
935,887,872,922,394,861,625,949,757,895
938,888,870,924,401,854,729,948,747,915
937,891,865,929,336,866,372,939,746,856
941,905,868,929,306,887,174,951,775,626
949,892,863,931,305,872,797,942,764,813
949,883,863,931,299,875,271,935,770,822
950,890,856,935,303,879,118,939,780,835
944,880,863,933,301,873,273,930,789,848
946,889,863,930,319,876,636,938,782,860
948,890,860,930,340,856,638,941,772,866
949,897,867,932,325,869,488,933,781,899
946,894,864,930,316,841,539,941,790,853
944,898,867,930,319,852,587,941,789,863
943,898,867,931,314,849,609,937,790,867
937,900,867,930,303,865,560,943,787,852
939,894,864,931,306,867,592,936,790,827
939,902,878,930,339,847,740,951,773,892
937,889,858,932,234,822,664,945,783,851
937,896,856,931,359,861,617,948,784,849
941,893,857,931,361,855,656,941,782,850
939,896,862,930,362,847,844,950,771,899
940,899,865,926,359,850,817,948,790,872
937,903,857,928,347,840,684,923,786,876
935,901,860,927,357,814,764,944,780,910
940,904,858,927,374,815,821,955,778,923
938,899,870,923,438,762,866,962,773,940
941,899,869,925,362,801,831,960,733,929
938,904,866,926,353,792,835,952,758,922
936,903,857,928,348,799,819,955,756,925
940,901,858,929,347,816,740,959,771,925
942,903,858,930,344,829,728,960,773,921
943,901,857,928,349,833,744,956,770,913
943,901,858,929,343,831,725,949,759,911
943,904,858,930,337,831,682,944,770,903
941,903,859,928,302,835,788,950,768,907
942,906,854,928,306,830,772,949,767,912
939,908,855,928,308,822,768,944,764,905
940,908,855,929,306,822,827,942,769,897
936,912,856,924,351,804,657,891,768,890
937,910,858,926,352,816,745,923,777,919
939,906,859,930,323,824,345,946,771,917
939,907,861,930,322,834,411,948,786,918
939,907,860,931,321,816,513,940,782,912
938,899,855,929,320,801,805,950,777,921
942,906,862,929,327,819,756,949,784,923
939,905,863,920,266,826,499,943,781,925
943,893,863,917,308,842,53,957,785,924
944,876,863,923,322,863,105,959,781,915
942,888,855,924,288,851,117,955,779,907
942,886,852,925,308,834,36,955,787,916
940,891,852,928,318,830,89,956,785,929
941,891,853,928,321,831,37,954,795,923
942,894,853,928,332,826,48,949,794,906
941,891,854,928,355,828,128,955,792,921
941,895,855,929,358,828,47,946,796,914
941,901,869,918,380,819,557,949,799,919
939,901,871,921,359,825,594,951,801,924
938,902,857,927,339,797,612,948,782,935
927,878,868,923,343,744,838,965,792,937
931,884,856,926,303,773,673,967,786,935
929,893,856,928,333,776,677,971,784,934
932,895,856,927,333,802,668,969,792,934
933,896,856,928,344,804,684,966,790,937
932,896,856,928,344,795,654,963,785,939
932,897,856,928,355,806,658,962,792,938
932,898,857,927,393,833,491,919,805,908
933,896,858,932,411,843,676,921,799,924
935,892,860,932,387,852,763,943,810,923
935,896,860,933,392,853,735,944,812,910
937,899,861,933,381,852,720,919,810,899
935,898,862,935,373,841,687,939,807,920
931,904,861,930,367,833,643,959,812,930
931,903,862,930,387,818,625,957,803,936
938,908,880,921,415,839,717,962,803,938
931,902,863,926,416,825,686,962,803,938
932,903,865,927,416,842,632,964,807,936
933,899,859,928,420,839,571,964,816,881
932,902,860,929,420,838,31,952,815,827
928,909,862,928,443,820,26,960,813,801
925,909,863,927,434,840,35,959,826,853
930,908,861,926,449,853,36,958,830,873
929,906,863,927,436,825,556,959,813,915
930,904,863,928,432,831,424,956,820,903
929,906,858,937,430,859,85,951,816,841
929,909,859,925,433,840,30,955,822,879
931,914,860,926,428,847,30,955,829,895
931,913,860,927,423,845,26,951,832,862
931,913,861,928,396,850,37,950,821,885
935,912,861,930,433,850,62,917,841,882
929,910,861,931,432,847,36,931,841,880
931,910,862,929,433,854,35,943,848,885
932,914,862,930,439,829,35,878,866,841
896,918,869,930,432,824,30,909,832,912
933,906,859,926,317,773,811,948,816,932
927,895,864,923,364,811,791,958,827,930
938,909,857,927,317,868,652,933,842,886
935,913,858,927,317,857,393,933,844,883
938,913,857,927,319,861,401,928,842,893
938,913,857,928,346,862,438,943,840,862
940,903,857,927,315,865,144,946,844,864
941,907,855,927,316,863,284,945,842,880
941,908,855,928,312,863,238,949,843,894
943,910,856,928,323,865,93,946,848,886
942,910,855,927,325,863,439,954,826,910
942,895,855,930,329,858,574,961,837,912
941,895,855,927,326,863,108,957,840,895
940,896,858,931,329,887,37,946,845,757
941,898,859,930,334,871,382,947,841,820
941,899,859,931,333,865,373,943,841,817
941,899,859,931,333,871,191,950,845,826
942,901,859,931,325,876,376,950,846,838
942,900,859,931,330,870,366,948,848,822
942,903,859,932,332,873,351,944,842,867
943,895,860,932,325,883,464,936,841,910
938,895,857,930,326,868,639,963,832,905
942,901,855,930,326,871,624,964,845,913
942,898,854,932,327,871,602,963,841,926
940,895,851,932,328,867,682,965,835,910
941,906,850,931,316,853,625,953,842,912
938,906,849,931,333,833,619,958,831,945
928,867,847,928,319,850,796,973,777,944
934,893,849,928,301,837,871,974,792,957
929,857,848,928,197,853,643,967,822,935
938,902,852,929,272,863,825,969,807,956
928,868,847,931,369,816,883,970,821,953
936,877,851,928,259,862,292,965,824,921
937,894,851,927,252,831,262,961,831,923
949,899,852,928,268,838,578,963,836,926
945,896,853,928,323,844,501,961,837,928
945,898,852,928,323,852,528,950,836,873
938,896,850,930,263,866,380,974,795,627
936,899,852,930,294,867,398,975,825,800
935,899,852,929,322,848,687,968,823,833
935,899,854,930,361,842,695,963,822,839
935,900,854,931,396,838,661,959,825,820
934,900,854,931,399,845,663,963,827,832
935,901,853,931,396,865,672,962,829,831
929,900,853,931,413,861,711,960,821,843
930,900,855,931,421,861,675,962,826,845
931,904,855,932,421,867,678,965,831,847
932,902,854,931,423,864,686,964,833,839
934,901,849,932,419,872,374,942,824,813
928,902,849,932,414,879,466,935,831,783
932,901,851,934,419,880,593,949,835,813
933,902,851,935,417,877,603,949,838,803
