sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10
942,965,754,930,693,921,682,227,698,481
941,965,754,931,693,919,686,224,702,478
941,966,755,930,690,920,689,221,675,476
942,965,755,931,695,919,688,219,659,479
942,965,754,932,694,920,689,215,546,478
941,965,755,931,692,909,686,218,621,464
941,963,755,930,688,915,689,224,695,463
941,965,755,931,691,915,689,227,692,461
942,965,755,931,701,916,691,217,695,457
942,965,756,931,702,919,689,224,679,458
943,965,755,931,705,919,689,225,683,454
942,965,755,930,697,918,690,225,683,449
942,964,756,931,703,919,690,224,697,450
943,965,756,932,711,919,691,226,704,448
932,965,849,932,711,920,689,225,694,448
932,965,857,932,713,918,687,226,712,442
931,966,859,932,711,919,688,226,706,439
932,966,859,929,705,919,687,148,703,438
931,964,860,930,708,919,687,145,693,422
931,965,861,930,709,918,689,145,692,415
931,965,863,929,709,919,688,145,687,415
931,964,863,930,707,919,687,161,699,410
930,965,863,929,712,920,686,200,693,380
929,966,863,929,713,918,685,203,703,378
930,965,862,930,713,917,682,203,705,375
930,964,861,929,712,918,684,190,712,380
930,965,862,930,710,919,687,148,704,373
929,966,862,929,710,920,688,147,678,367
930,965,862,930,704,920,684,147,696,356
929,965,862,930,709,920,690,147,691,350
930,965,862,930,713,919,688,149,674,343
930,965,862,930,707,921,689,148,686,312
929,967,862,929,689,920,691,147,696,304
930,966,863,930,706,920,689,147,695,304
930,966,862,932,717,919,673,147,692,304
929,967,863,932,727,913,672,148,676,302
929,965,862,933,702,907,671,148,707,296
929,964,862,932,662,912,673,202,726,302
927,966,861,932,537,916,677,154,714,281
927,966,859,933,517,911,679,153,720,292
926,967,859,931,498,906,680,152,712,291
926,967,859,933,491,888,680,160,721,296
926,965,859,933,496,880,680,152,749,298
928,966,861,935,569,876,681,153,715,298
929,965,863,934,627,841,667,161,624,313
930,966,861,933,609,854,679,165,555,311
929,967,861,933,667,850,666,160,461,321
931,968,864,934,674,849,666,152,378,322
929,971,862,933,593,857,667,151,412,334
930,971,862,930,631,865,668,149,429,343
930,971,862,929,664,850,667,134,429,355
930,973,862,930,583,836,671,122,415,354
929,974,861,930,511,805,672,109,423,353
929,974,860,930,503,797,675,104,435,354
928,976,860,930,521,760,675,102,442,348
929,976,860,928,536,768,675,101,444,354
929,976,860,927,537,803,675,103,440,359
928,977,857,928,502,813,673,105,453,359
927,976,856,928,503,829,673,110,448,358
926,976,855,926,514,847,672,116,449,363
927,977,855,925,506,859,672,121,442,363
928,976,856,926,511,870,674,123,437,353
928,977,855,925,509,874,674,124,430,354
927,977,855,925,513,878,674,125,430,358
929,976,854,924,522,883,672,125,437,370
936,977,756,924,530,882,675,126,463,370
927,977,856,922,532,886,676,127,464,379
927,977,856,920,535,887,676,127,458,382
927,977,857,922,536,886,675,127,464,382
927,977,857,921,537,887,675,128,469,381
927,977,857,921,533,881,674,128,470,381
927,978,858,921,533,880,674,127,468,376
926,977,857,922,532,877,674,128,469,378
925,978,857,923,548,875,674,127,472,375
926,976,856,924,553,875,674,128,481,373
926,977,856,924,554,876,672,128,485,376
925,977,856,923,553,874,672,128,476,377
925,977,856,924,554,873,672,129,475,377
925,978,855,924,556,870,671,129,474,372
925,977,856,925,558,869,669,128,471,374
926,977,855,925,558,865,669,129,471,378
925,978,856,925,543,864,669,129,477,394
927,977,856,925,542,859,669,128,469,397
926,977,855,925,538,860,669,130,450,402
925,978,855,926,534,863,669,129,449,403
924,977,855,925,542,867,668,129,370,410
926,976,856,926,545,867,668,129,458,412
921,978,852,927,536,863,670,129,507,415
923,977,852,924,549,863,669,130,399,418
923,977,854,925,553,862,668,130,421,422
924,977,854,926,553,855,668,130,420,427
924,977,853,925,558,857,668,130,408,430
923,978,853,925,559,849,669,130,355,432
924,977,853,926,559,845,668,131,391,433
924,977,851,924,559,850,668,131,417,434
924,977,850,924,547,856,670,130,410,444
923,977,851,922,544,859,671,130,422,446
923,978,851,921,544,862,670,130,427,446
924,977,850,921,536,864,669,130,428,439
924,977,850,921,545,865,669,130,433,440
924,978,851,921,546,864,668,131,440,443
924,978,851,921,549,865,670,130,437,443
924,977,850,920,552,865,671,131,439,445
924,978,851,919,553,868,669,131,435,448
924,977,851,921,553,869,668,131,432,447
925,977,852,922,546,869,670,131,429,451
924,978,852,922,548,869,670,130,423,451
925,977,852,922,551,870,671,130,420,452
925,978,852,921,550,870,670,131,423,457
925,978,853,922,551,870,669,131,425,459
926,978,855,922,549,870,669,131,423,458
924,978,855,922,551,870,668,131,421,460
925,977,855,923,548,871,669,131,401,461
925,978,855,922,547,870,669,131,352,467
926,977,855,922,545,871,668,132,344,466
925,978,855,923,545,871,667,131,354,470
925,977,855,922,547,870,668,131,376,468
925,977,855,922,552,871,669,130,389,470
925,977,855,922,552,870,668,131,396,471
925,978,855,921,552,870,670,131,398,471
925,977,855,922,551,872,669,131,335,473
925,978,855,921,549,872,670,130,371,484
925,978,855,922,550,872,671,131,407,484
925,977,855,923,551,873,671,130,413,486
925,978,855,923,550,873,671,131,420,488
924,978,854,923,566,872,670,130,417,489
924,977,853,923,568,871,670,129,419,493
923,977,854,923,569,871,670,129,419,491
924,977,853,923,570,871,672,129,419,494
923,978,853,923,569,872,671,129,418,493
923,977,854,924,570,871,671,129,422,495
924,978,854,922,571,874,670,128,419,496
923,978,853,923,571,874,671,128,420,497
925,977,853,922,571,876,671,129,414,495
923,977,854,924,571,874,670,130,410,495
924,978,854,923,570,873,670,129,406,495
923,977,854,924,570,874,670,129,407,496
924,978,853,923,570,874,670,128,394,498
923,978,854,923,571,873,668,129,390,499
924,978,853,923,570,872,666,129,391,502
923,978,854,923,571,872,667,129,396,502
923,977,853,924,571,876,668,130,396,504
921,978,850,923,571,881,667,130,410,506
920,978,847,923,571,892,665,131,415,507
916,978,847,923,571,890,664,131,393,507
917,977,847,924,569,892,663,130,345,509
916,978,847,924,568,893,664,131,330,508
917,977,847,924,569,894,664,130,336,509
917,978,848,923,566,894,662,130,337,509
917,978,848,923,566,894,660,130,336,510
918,977,847,924,567,894,660,130,349,509
918,978,848,924,568,895,660,130,363,510
917,978,847,923,568,894,660,130,340,510
917,977,847,924,565,894,658,131,332,512
918,977,847,923,566,895,659,130,368,513
917,977,848,924,567,895,659,129,413,513
918,978,847,923,567,895,662,129,420,514
918,978,846,925,567,895,659,129,423,508
918,977,845,924,567,895,660,129,421,511
918,977,845,924,551,896,662,129,414,510
918,978,845,924,567,896,659,129,418,510
917,977,845,925,567,896,659,128,417,511
918,978,844,924,567,896,659,128,420,511
919,977,845,925,567,897,660,128,421,513
918,978,845,925,566,895,661,129,425,514
919,978,844,924,565,896,660,128,427,514
918,978,844,924,564,896,660,127,428,514
919,977,844,924,564,896,656,128,428,514
919,978,843,924,561,897,656,128,428,515
919,978,844,925,563,896,653,127,426,516
919,978,841,924,564,898,654,128,405,515
919,978,841,924,559,897,652,128,382,514
919,978,846,924,560,897,653,129,345,515
919,978,846,924,559,898,653,129,337,515
921,977,847,924,542,894,657,129,324,515
920,978,847,925,541,898,656,129,324,515
920,979,847,924,536,898,655,129,332,515
920,978,847,926,534,898,656,129,315,516
920,978,847,926,535,897,657,129,330,515
918,979,845,926,552,896,654,128,340,517
919,977,845,926,552,897,654,130,321,517
918,978,845,925,543,898,653,129,322,517
918,979,845,925,542,897,653,129,346,517
919,978,844,925,544,897,653,129,384,516
920,978,844,926,541,898,653,129,412,517
919,978,844,927,540,897,653,129,416,517
920,978,843,926,541,897,652,129,417,518
919,978,844,926,542,896,650,129,419,517
920,977,843,925,536,899,649,129,420,518
921,978,844,925,536,898,649,129,425,519
922,978,845,924,535,899,650,128,420,519
922,978,845,924,527,899,651,128,403,518
921,977,845,925,530,900,651,129,384,519
921,978,845,924,529,900,651,130,384,520
921,978,845,925,532,900,652,130,372,521
921,978,843,924,532,900,651,129,365,523
921,978,842,923,534,900,650,129,333,523
921,978,842,925,543,899,650,129,335,524
922,978,841,924,534,900,652,130,326,526
920,978,842,923,550,898,653,129,317,526
921,978,841,925,542,900,653,130,318,525
922,977,841,924,542,900,653,130,306,518
921,978,842,925,548,899,652,130,315,514
921,978,842,925,548,897,653,130,325,507
922,978,841,924,551,899,653,130,336,507
921,978,842,924,551,899,652,131,344,505
922,978,841,924,550,900,652,130,338,501
921,978,842,923,551,900,654,131,302,500
921,978,842,924,549,900,652,131,311,469
922,978,841,924,551,902,654,132,334,471
921,979,842,924,545,902,654,132,336,472
922,978,841,924,536,902,652,132,290,480
921,978,842,924,527,900,656,131,373,481
921,978,843,924,531,900,657,131,433,478
922,977,842,922,537,902,658,132,465,475
922,978,844,922,562,900,660,132,542,475
922,978,843,922,558,897,656,134,628,452
918,979,838,920,538,884,655,136,634,435
910,980,833,921,541,850,654,139,730,446
903,982,828,913,596,833,658,149,754,443
903,984,831,825,729,834,660,107,753,384
897,984,815,505,212,816,662,57,750,432
